Page,Section,Element,Copy,File Location
Homepage,Final CTA,Social Proof,"Join 200+ members already matched in South Florida.",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,CTA Primary,"See If You Qualify",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,Divider,"OR",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,Non-SF Text,"Not in South Florida? We're expanding soon.",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,CTA Secondary,"Join the Waitlist for Your City",src/components/sections/FinalCTA.tsx
Apply,Quiz Intro,Headline,"Quick Check: Are We Right for You?",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Subhead Line 1,"5 questions. 2 minutes.",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Subhead Line 2,"We'll tell you honestly if AILO can help.",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,CTA,"Start",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Social Proof,"Based on 30 years of compatibility research",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Badge 1,"US Patent #8556630B2",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Badge 2,"70%+ matches only",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Badge 3,"~2 minutes",src/app/apply/QuizContainer.tsx
Apply,Quiz Q1,Question,"Where do you currently live?",src/lib/quiz-data.ts
Apply,Quiz Q1,Option A,"South Florida (Palm Beach, Broward, Miami-Dade)",src/lib/quiz-data.ts
Apply,Quiz Q1,Option B,"Florida (outside South Florida)",src/lib/quiz-data.ts
Apply,Quiz Q1,Option C,"U.S. (outside Florida)",src/lib/quiz-data.ts
Apply,Quiz Q1,Option D,"Outside the U.S.",src/lib/quiz-data.ts
Apply,Quiz Q2,Question,"What are you looking for?",src/lib/quiz-data.ts
Apply,Quiz Q2,Option A,"A committed relationship — I'm ready",src/lib/quiz-data.ts
Apply,Quiz Q2,Option B,"Something serious, but balancing priorities",src/lib/quiz-data.ts
Apply,Quiz Q2,Option C,"Exploring, no rush",src/lib/quiz-data.ts
Apply,Quiz Q2,Option D,"Just curious about AILO",src/lib/quiz-data.ts
Apply,Quiz Q3,Question,"How would you describe your emotional availability?",src/lib/quiz-data.ts
Apply,Quiz Q3,Option A,"Open and available",src/lib/quiz-data.ts
Apply,Quiz Q3,Option B,"Mostly open, still processing past experiences",src/lib/quiz-data.ts
Apply,Quiz Q3,Option C,"Working on it",src/lib/quiz-data.ts
Apply,Quiz Q3,Option D,"Not fully available right now",src/lib/quiz-data.ts
Apply,Quiz Q4,Question,"AILO membership is $999-1,499 (one-time). How does that feel?",src/lib/quiz-data.ts
Apply,Quiz Q4,Option A,"Worth it for the right match",src/lib/quiz-data.ts
Apply,Quiz Q4,Option B,"Open to it if the fit is right",src/lib/quiz-data.ts
Apply,Quiz Q4,Option C,"Need to think about it",src/lib/quiz-data.ts
Apply,Quiz Q4,Option D,"Not ready to invest that much",src/lib/quiz-data.ts
Apply,Quiz Q5,Question,"When would you like to be in a relationship?",src/lib/quiz-data.ts
Apply,Quiz Q5,Option A,"As soon as I find the right person",src/lib/quiz-data.ts
Apply,Quiz Q5,Option B,"Within the next year",src/lib/quiz-data.ts
Apply,Quiz Q5,Option C,"No specific timeline",src/lib/quiz-data.ts
Apply,Quiz Q5,Option D,"Not sure yet",src/lib/quiz-data.ts
Book Call,Hero,Badge,"You Qualified",src/app/book-call/page.tsx
Book Call,Hero,Headline,"You're Exactly Who We Built AILO For",src/app/book-call/page.tsx
Book Call,Hero,Subhead,"Book your complimentary strategy call below",src/app/book-call/page.tsx
Book Call,Calendly,Title,"Schedule Your Call",src/app/book-call/page.tsx
Book Call,Calendly,Subtitle,"20 minutes • Video or Phone",src/app/book-call/page.tsx
Book Call,Calendly,Availability,"8 slots this week",src/app/book-call/page.tsx
Book Call,Strategist,Name,"Haleh Gianni",src/app/book-call/page.tsx
Book Call,Strategist,Title,"Founder & Matchmaking Strategist",src/app/book-call/page.tsx
Book Call,Strategist,Bio,"15 years helping people find lasting love. I'll personally review your situation and show you exactly how AILO can help.",src/app/book-call/page.tsx
Book Call,Call Agenda,Title,"On Your Call",src/app/book-call/page.tsx
Book Call,Call Agenda,Item 1,"Your dating goals and what hasn't worked",src/app/book-call/page.tsx
Book Call,Call Agenda,Item 2,"How AILO's science-based matching works",src/app/book-call/page.tsx
Book Call,Call Agenda,Item 3,"Whether AILO is right for your situation",src/app/book-call/page.tsx
Book Call,Pricing,Title,"Membership",src/app/book-call/page.tsx
Book Call,Pricing,Type,"One-time",src/app/book-call/page.tsx
Book Call,Pricing,Price Range,"$999 – $1,499",src/app/book-call/page.tsx
Book Call,Pricing,Comparison,"vs. $15,000–50,000 traditional matchmakers",src/app/book-call/page.tsx
Book Call,Pricing,Feature 1,"Lifetime access",src/app/book-call/page.tsx
Book Call,Pricing,Feature 2,"90-day guarantee",src/app/book-call/page.tsx
Book Call,Pricing,Feature 3,"No subscriptions",src/app/book-call/page.tsx
Book Call,Trust,Feature 1,"No obligation",src/app/book-call/page.tsx
Book Call,Trust,Feature 2,"20 minutes",src/app/book-call/page.tsx
Book Call,Trust,Feature 3,"Video or phone",src/app/book-call/page.tsx
Book Call,Social Proof,Text,"Join 200+ members finding better matches",src/app/book-call/page.tsx
Book Call,Social Proof,Rating,"4.9/5",src/app/book-call/page.tsx
Waitlist,Hero,Headline,"You're In!",src/app/waitlist/page.tsx
Waitlist,Hero,Social Proof,"Join 1,200+ others waiting for AILO",src/app/waitlist/page.tsx
Waitlist,Hero,Subhead,"We're expanding beyond South Florida soon. Get priority access when we launch in your city.",src/app/waitlist/page.tsx
Waitlist,Form,Title,"Get Priority Access",src/app/waitlist/page.tsx
Waitlist,While You Wait,Title,"While You Wait",src/app/waitlist/page.tsx
Waitlist,While You Wait,Item 1 Title,"Follow Us",src/app/waitlist/page.tsx
Waitlist,While You Wait,Item 1 Description,"Dating tips and compatibility insights",src/app/waitlist/page.tsx
Waitlist,While You Wait,Item 1 Link,"@ailoapp",src/app/waitlist/page.tsx
Waitlist,While You Wait,Item 2 Title,"Monthly Webinar",src/app/waitlist/page.tsx
Waitlist,While You Wait,Item 2 Description,"Free compatibility workshop",src/app/waitlist/page.tsx
Waitlist,While You Wait,Item 2 Link,"Register free",src/app/waitlist/page.tsx
Waitlist,Footer,Promise,"We're expanding soon. When we launch in your area, you'll be first to know.",src/app/waitlist/page.tsx
Not Ready,Hero,Headline,"Not the Right Time? That's Okay.",src/app/not-ready/page.tsx
Not Ready,Hero,Subhead,"Finding the right person requires the right mindset. Here's how to get ready.",src/app/not-ready/page.tsx
Not Ready,Newsletter,Title,"Get Ready for Love",src/app/not-ready/page.tsx
Not Ready,Newsletter,Subhead,"Join 3,000+ people getting weekly insights:",src/app/not-ready/page.tsx
Not Ready,Newsletter,Benefit 1,"How to know when you're emotionally ready",src/app/not-ready/page.tsx
Not Ready,Newsletter,Benefit 2,"Communication patterns that predict success",src/app/not-ready/page.tsx
Not Ready,Newsletter,Benefit 3,"Red flags vs. preferences: knowing the difference",src/app/not-ready/page.tsx
Not Ready,Newsletter,CTA,"Subscribe",src/app/not-ready/page.tsx
Not Ready,Personal Note,Quote,"I've been where you are. Taking time to prepare is a sign of maturity, not failure. When you're ready, we'll be here.",src/app/not-ready/page.tsx
Not Ready,Personal Note,Attribution,"— Haleh",src/app/not-ready/page.tsx
Not Ready,Waitlist,Title,"Check Back Later",src/app/not-ready/page.tsx
Not Ready,Waitlist,Subhead,"When you're ready, we'll be here. Join the waitlist.",src/app/not-ready/page.tsx
Not Ready,Footer,Reassurance,"There's no rush. The right match is worth waiting for.",src/app/not-ready/page.tsx
The Science,Hero,Badge,"US Patent #8556630B2",src/app/the-science/page.tsx
The Science,Hero,Headline,"The Science Behind Compatibility",src/app/the-science/page.tsx
The Science,Hero,Subhead,"30 years of behavioral research. One breakthrough methodology.",src/app/the-science/page.tsx
The Science,Research,Headline,"The Research",src/app/the-science/page.tsx
The Science,Research,Description,"Dr. Zannah Hackett spent 30 years studying human nature and relationship dynamics. Her work, ""The Natural Mathematics of Man,"" became the foundation for AILO.",src/app/the-science/page.tsx
The Science,Research,Quote,"Compatibility isn't about shared interests. It's about how two people's natural traits interact.",src/app/the-science/page.tsx
The Science,Markers,Headline,"The 6 Compatibility Markers",src/app/the-science/page.tsx
The Science,Markers,Subhead,"Based on decades of behavioral research",src/app/the-science/page.tsx
The Science,Markers,Marker 1 Name,"Physical Traits",src/app/the-science/page.tsx
The Science,Markers,Marker 1 Description,"Your natural traits that determine how you show up in the world",src/app/the-science/page.tsx
The Science,Markers,Marker 2 Name,"Motivators",src/app/the-science/page.tsx
The Science,Markers,Marker 2 Description,"What drives you — what must be fed and honored for you to thrive",src/app/the-science/page.tsx
The Science,Markers,Marker 3 Name,"Tolerance",src/app/the-science/page.tsx
The Science,Markers,Marker 3 Description,"Your boundaries — what you can and can't tolerate in a partner",src/app/the-science/page.tsx
The Science,Markers,Marker 4 Name,"Communication",src/app/the-science/page.tsx
The Science,Markers,Marker 4 Description,"How you relate, connect, and process information",src/app/the-science/page.tsx
The Science,Markers,Marker 5 Name,"Perception",src/app/the-science/page.tsx
The Science,Markers,Marker 5 Description,"Whether you see what's working or not working first",src/app/the-science/page.tsx
The Science,Markers,Marker 6 Name,"Energy Level",src/app/the-science/page.tsx
The Science,Markers,Marker 6 Description,"How much physical and emotional energy you bring to relationships",src/app/the-science/page.tsx
The Science,What This Means,Headline,"What This Means For You",src/app/the-science/page.tsx
The Science,What This Means,Description,"Instead of discovering incompatibilities after 6 months of dating, AILO reveals them before your first conversation. No more wasted time. No more ""it just didn't work out.""",src/app/the-science/page.tsx
The Science,Assessment,Headline,"How the Assessment Works",src/app/the-science/page.tsx
The Science,Assessment,Subhead,"The AILO Discovery Assessment measures three dimensions:",src/app/the-science/page.tsx
The Science,Assessment,Dimension 1 Name,"Perception",src/app/the-science/page.tsx
The Science,Assessment,Dimension 1 Description,"How you see yourself",src/app/the-science/page.tsx
The Science,Assessment,Dimension 2 Name,"Reality",src/app/the-science/page.tsx
The Science,Assessment,Dimension 2 Description,"How you actually show up",src/app/the-science/page.tsx
The Science,Assessment,Dimension 3 Name,"Expression",src/app/the-science/page.tsx
The Science,Assessment,Dimension 3 Description,"How others experience you",src/app/the-science/page.tsx
The Science,Assessment,Closing,"In 7 minutes, we capture what takes years to discover through dating.",src/app/the-science/page.tsx
The Science,Team,Headline,"The Team Behind the Science",src/app/the-science/page.tsx
The Science,Team,Dr Zannah Name,"Dr. Zannah Hackett",src/app/the-science/page.tsx
The Science,Team,Dr Zannah Title,"Chief Science Officer",src/app/the-science/page.tsx
The Science,Team,Dr Zannah Credential 1,"30 years researching human nature",src/app/the-science/page.tsx
The Science,Team,Dr Zannah Credential 2,"Creator of ""The Natural Mathematics of Man""",src/app/the-science/page.tsx
The Science,Team,Dr Zannah Credential 3,"Founder of Y.O.U. Institute",src/app/the-science/page.tsx
The Science,Team,Dr Zannah Credential 4,"Curriculum approved by CA Board of Behavioral Sciences",src/app/the-science/page.tsx
The Science,Team,Haleh Name,"Haleh Gianni",src/app/the-science/page.tsx
The Science,Team,Haleh Title,"CEO",src/app/the-science/page.tsx
The Science,Team,Haleh Credential 1,"15 years as relationship coach",src/app/the-science/page.tsx
The Science,Team,Haleh Credential 2,"Trained in the Y.O.U. methodology",src/app/the-science/page.tsx
The Science,Team,Haleh Credential 3,"10+ years as Senior Systems Quality Engineer",src/app/the-science/page.tsx
The Science,Team,Haleh Credential 4,"I built the dating service I wish existed",src/app/the-science/page.tsx
The Science,CTA,Headline,"Ready to discover your compatibility profile?",src/app/the-science/page.tsx
The Science,CTA,Button,"See If You Qualify",src/app/the-science/page.tsx
About,Hero,Headline,"We Built the Dating Service We Wished Existed",src/app/about/page.tsx
About,Haleh Story,Headline,"Haleh's Story",src/app/about/page.tsx
About,Haleh Story,Quote 1,"I spent years on dating apps, meeting people who looked great on paper but never felt right. I knew there had to be a better way.",src/app/about/page.tsx
About,Haleh Story,Quote 2,"Then I met Dr. Zannah and learned about her 30 years of research on human compatibility. Everything clicked.",src/app/about/page.tsx
About,Haleh Story,Quote 3,"I didn't build another dating app. I built the one I wish existed — one that shows you who actually fits, not just who's nearby.",src/app/about/page.tsx
About,Haleh Story,Background Title,"Background",src/app/about/page.tsx
About,Haleh Story,Background 1,"15 years as relationship coach",src/app/about/page.tsx
About,Haleh Story,Background 2,"Trained in the Y.O.U. methodology",src/app/about/page.tsx
About,Haleh Story,Background 3,"10+ years as Senior Systems Quality Engineer",src/app/about/page.tsx
About,Dr Zannah Story,Headline,"Dr. Zannah's Story",src/app/about/page.tsx
About,Dr Zannah Story,Quote 1,"For 30 years, I've studied what makes people compatible. Not what they think they want — what actually works.",src/app/about/page.tsx
About,Dr Zannah Story,Quote 2,"The methodology behind AILO comes from decades of research at Y.O.U. Institute, approved by the California Board of Behavioral Sciences.",src/app/about/page.tsx
About,Dr Zannah Story,Quote 3,"When Haleh came to me with the vision for AILO, I knew this was the opportunity to bring this science to people who needed it most.",src/app/about/page.tsx
About,Dr Zannah Story,Credentials Title,"Credentials",src/app/about/page.tsx
About,Dr Zannah Story,Credential 1,"30 years researching human nature",src/app/about/page.tsx
About,Dr Zannah Story,Credential 2,"Creator of ""The Natural Mathematics of Man""",src/app/about/page.tsx
About,Dr Zannah Story,Credential 3,"Founder of Y.O.U. Institute",src/app/about/page.tsx
About,Dr Zannah Story,Credential 4,"Curriculum approved by CA Board of Behavioral Sciences",src/app/about/page.tsx
About,Dr Zannah Story,Credential 5,"Author, Behaviorist, Educator",src/app/about/page.tsx
About,Stats,Stat 1 Value,"200+",src/app/about/page.tsx
About,Stats,Stat 1 Label,"Active Members",src/app/about/page.tsx
About,Stats,Stat 2 Value,"47",src/app/about/page.tsx
About,Stats,Stat 2 Label,"Couples Matched",src/app/about/page.tsx
About,Stats,Stat 3 Value,"30+",src/app/about/page.tsx
About,Stats,Stat 3 Label,"Years Research",src/app/about/page.tsx
